time_Com_1535,	Mean_Com_1535,	Signal_Com_1535,	sdev_Com_1535
1960:01,	2.0937476,	2.0937405,	4.161844E-5
1960:02,	2.0100663,	1.7563568,	0.14570613
1960:03,	1.8085515,	1.205494,	0.3712032
1960:04,	1.6401902,	1.0893354,	0.44796848
1961:01,	1.4515162,	0.86862653,	0.5135205
1961:02,	1.3382374,	0.97456104,	0.49314204
1961:03,	1.3846139,	1.5135424,	0.43381324
1961:04,	1.3645282,	1.2917295,	0.38095996
1962:01,	1.347853,	1.2889545,	0.33435613
1962:02,	1.3599509,	1.3911407,	0.29450792
1962:03,	1.3410972,	1.2793351,	0.26094607
1962:04,	1.300355,	1.169604,	0.24028529
1963:01,	1.2666924,	1.167122,	0.21647817
1963:02,	1.2434498,	1.1621895,	0.19980408
1963:03,	1.2505393,	1.2631747,	0.17745614
1963:04,	1.3334167,	1.573184,	0.20938607
1964:01,	1.4705187,	1.8809332,	0.30051908
1964:02,	1.4937422,	1.563346,	0.26423377
1964:03,	1.4551919,	1.3506699,	0.23804905
1964:04,	1.4253075,	1.3436894,	0.2130237
1965:01,	1.3790315,	1.2345836,	0.20332876
1965:02,	1.3932173,	1.4373964,	0.17874415
1965:03,	1.378418,	1.3326696,	0.15950462
1965:04,	1.3660246,	1.3258736,	0.14084847
1966:01,	1.380189,	1.4213437,	0.12782474
1966:02,	1.5630375,	2.1180823,	0.33817786
1966:03,	1.9001805,	2.910391,	0.6542007
1966:04,	2.2547905,	3.3867779,	0.85585326
1967:01,	2.5426638,	3.4674103,	0.9113047
1967:02,	2.7021437,	3.2403424,	0.85081327
1967:03,	2.8695803,	3.4033425,	0.8026517
1967:04,	3.0161269,	3.4652169,	0.7428642
1968:01,	3.2750466,	4.1016717,	0.81129986
1968:02,	3.537846,	4.348511,	0.8501624
1968:03,	3.8076532,	4.669382,	0.8984107
1968:04,	4.1038413,	5.072549,	0.96478194
1969:01,	4.3529954,	5.1900587,	0.9787925
1969:02,	4.6810274,	5.7518096,	1.0600908
1969:03,	4.922686,	5.7614512,	1.0509208
1969:04,	5.1000986,	5.6808634,	0.9790144
1970:01,	5.2731194,	5.858695,	0.9276131
1970:02,	5.4630647,	6.0984178,	0.89491385
1970:03,	5.5942373,	6.0168524,	0.823942
1970:04,	5.747141,	6.257185,	0.7832146
1971:01,	5.7240314,	5.6925936,	0.689225
1971:02,	5.5109773,	4.890754,	0.70483017
1971:03,	5.23603,	4.44165,	0.77450967
1971:04,	4.7643685,	3.3741922,	1.0530368
1972:01,	4.417544,	3.2662313,	1.1184757
1972:02,	4.0669065,	3.0060067,	1.1482286
1972:03,	3.797482,	2.9054031,	1.1239585
