time_Com_2525,	Mean_Com_2525,	Signal_Com_2525,	sdev_Com_2525
1993:02,	3.4394403,	3.375,	0.30472302
1993:03,	3.402348,	3.3,	0.2670851
1993:04,	3.3090668,	3.03,	0.2850894
1994:01,	3.281086,	3.2,	0.24942501
1994:02,	3.2798824,	3.275,	0.2162659
1994:03,	3.290668,	3.325,	0.1884962
1994:04,	3.3240516,	3.425,	0.17159584
1995:01,	3.3457513,	3.4125,	0.15269361
1995:02,	3.389577,	3.525,	0.15202406
1995:03,	3.3600376,	3.275,	0.13829643
1995:04,	3.2587945,	2.95,	0.21378222
1996:01,	3.1400044,	2.775,	0.28066063
1996:02,	3.0727267,	2.875,	0.26837808
1996:03,	3.0562224,	3.0025,	0.23565519
1996:04,	3.048739,	3.025,	0.20496972
1997:01,	3.0527136,	3.0625,	0.1775146
1997:02,	3.0393784,	3.0,	0.15297088
1997:03,	2.9924815,	2.85,	0.15494095
1997:04,	2.8958347,	2.6,	0.21545579
1998:01,	2.7345514,	2.2625,	0.33289352
1998:02,	2.6654787,	2.45,	0.31390855
1998:03,	2.6152115,	2.475,	0.28133413
1998:04,	2.5399613,	2.3125,	0.27639523
1999:01,	2.447465,	2.175,	0.2854672
1999:02,	2.3846457,	2.2,	0.26904547
1999:03,	2.3815274,	2.3775,	0.23259638
1999:04,	2.4165623,	2.525,	0.20884933
2000:01,	2.4283648,	2.4625,	0.18306004
2000:02,	2.4712114,	2.605,	0.17318012
2000:03,	2.5312965,	2.7125,	0.1833703
2000:04,	2.5680606,	2.675,	0.17053056
2001:01,	2.5485246,	2.4875,	0.15240929
2001:02,	2.5391543,	2.5125,	0.13462643
