time_Ran_2525_25,	Mean_Ran_2525_25,	Signal_Ran_2525_25,	sdev_Ran_2525_25
1960:01,	2.0937479,	2.0937405,	4.170095E-5
1960:02,	2.0115168,	1.7563568,	0.14485046
1960:03,	1.7864453,	1.205494,	0.36231142
1960:04,	1.5614018,	1.0893354,	0.4333502
1961:01,	1.3480986,	0.86862653,	0.46744058
1961:02,	1.2123724,	0.97456104,	0.42620638
1961:03,	1.2674962,	1.5135424,	0.37878615
1961:04,	1.2978132,	1.2917295,	0.3165834
1962:01,	1.2948873,	1.2889545,	0.25815666
1962:02,	1.3168305,	1.3911407,	0.21051157
1962:03,	1.3132731,	1.2793351,	0.17331104
1962:04,	1.2744648,	1.169604,	0.1533469
1963:01,	1.2358756,	1.167122,	0.1324932
1963:02,	1.2113838,	1.1621895,	0.11369776
1963:03,	1.2192389,	1.2631747,	0.09709472
1963:04,	1.3129126,	1.573184,	0.17115553
1964:01,	1.4797882,	1.8809332,	0.2806379
1964:02,	1.5371834,	1.563346,	0.2551553
1964:03,	1.4906695,	1.3506699,	0.22213775
1964:04,	1.4407448,	1.3436894,	0.19351552
1965:01,	1.378494,	1.2345836,	0.17846103
1965:02,	1.379034,	1.4373964,	0.1540489
1965:03,	1.372563,	1.3326696,	0.12683609
1965:04,	1.3581648,	1.3258736,	0.10620014
1966:01,	1.3708876,	1.4213437,	0.09190683
1966:02,	1.5647526,	2.1180823,	0.33122548
1966:03,	1.9503422,	2.910391,	0.6321792
1966:04,	2.4139552,	3.3867779,	0.81543803
1967:01,	2.76259,	3.4674103,	0.8238053
1967:02,	2.9427683,	3.2403424,	0.72160274
1967:03,	3.0834763,	3.4033425,	0.623057
1967:04,	3.2160962,	3.4652169,	0.52028525
1968:01,	3.4666445,	4.1016717,	0.5626283
1968:02,	3.7491996,	4.348511,	0.59692967
1968:03,	4.043966,	4.669382,	0.6260885
1968:04,	4.357357,	5.072549,	0.6735481
1969:01,	4.62869,	5.1900587,	0.6669732
1969:02,	4.9698663,	5.7518096,	0.7228389
1969:03,	5.2374616,	5.7614512,	0.6991242
1969:04,	5.403669,	5.6808634,	0.60189134
1970:01,	5.5471077,	5.858695,	0.5189028
1970:02,	5.7120337,	6.0984178,	0.47425458
1970:03,	5.8280034,	6.0168524,	0.40599513
1970:04,	5.954699,	6.257185,	0.3739532
1971:01,	5.9201403,	5.6925936,	0.3384709
1971:02,	5.648141,	4.890754,	0.5169526
1971:03,	5.284212,	4.44165,	0.6732366
1971:04,	4.735461,	3.3741922,	0.9857949
1972:01,	4.243017,	3.2662313,	1.0513077
1972:02,	3.8458169,	3.0060067,	1.0217688
1972:03,	3.5388215,	2.9054031,	0.93803436
