time_Com_0050,	Mean_Com_0050,	Signal_Com_0050,	sdev_Com_0050
1960:01,	2.0937476,	2.0937405,	4.157837E-5
1960:02,	2.007976,	1.7563568,	0.14690565
1960:03,	1.8209803,	1.205494,	0.3684916
1960:04,	1.6564592,	1.0893354,	0.4526301
1961:01,	1.491693,	0.86862653,	0.52799684
1961:02,	1.4046654,	0.97456104,	0.5206821
1961:03,	1.4747705,	1.5135424,	0.46007046
1961:04,	1.4608275,	1.2917295,	0.42153376
1962:01,	1.4453984,	1.2889545,	0.38987088
1962:02,	1.457614,	1.3911407,	0.35850754
1962:03,	1.4355414,	1.2793351,	0.3431135
1962:04,	1.3923378,	1.169604,	0.34352657
1963:01,	1.3635964,	1.167122,	0.34056255
1963:02,	1.337846,	1.1621895,	0.33331576
1963:03,	1.3441089,	1.2631747,	0.3156143
1963:04,	1.425397,	1.573184,	0.30988896
1964:01,	1.5528232,	1.8809332,	0.3442276
1964:02,	1.5594349,	1.563346,	0.30701536
1964:03,	1.5105591,	1.3506699,	0.29443493
1964:04,	1.4785974,	1.3436894,	0.28118116
1965:01,	1.428945,	1.2345836,	0.2831445
1965:02,	1.4457742,	1.4373964,	0.2633175
1965:03,	1.4293777,	1.3326696,	0.2519777
1965:04,	1.4145623,	1.3258736,	0.24253216
1966:01,	1.4297546,	1.4213437,	0.2295555
1966:02,	1.6076479,	2.1180823,	0.3628119
1966:03,	1.928435,	2.910391,	0.64757025
1966:04,	2.2643344,	3.3867779,	0.84978616
1967:01,	2.51901,	3.4674103,	0.9103808
1967:02,	2.6308665,	3.2403424,	0.8663113
1967:03,	2.7685635,	3.4033425,	0.8457824
1967:04,	2.8817637,	3.4652169,	0.82566833
1968:01,	3.1244168,	4.1016717,	0.9353351
1968:02,	3.3503058,	4.348511,	1.0192283
1968:03,	3.5918343,	4.669382,	1.1091855
1968:04,	3.859276,	5.072549,	1.2246933
1969:01,	4.077814,	5.1900587,	1.2830278
1969:02,	4.3852477,	5.7518096,	1.4124491
1969:03,	4.602382,	5.7614512,	1.444977
1969:04,	4.7441187,	5.6808634,	1.4250385
1970:01,	4.892105,	5.858695,	1.4234735
1970:02,	5.064673,	6.0984178,	1.4421358
1970:03,	5.181266,	6.0168524,	1.4175943
1970:04,	5.3444014,	6.257185,	1.4207379
1971:01,	5.321219,	5.6925936,	1.3373119
1971:02,	5.116948,	4.890754,	1.2656304
1971:03,	4.867215,	4.44165,	1.2106849
1971:04,	4.438743,	3.3741922,	1.2886854
1972:01,	4.1289225,	3.2662313,	1.2715453
1972:02,	3.8527153,	3.0060067,	1.2528933
1972:03,	3.635634,	2.9054031,	1.2085084
1972:04,	3.4778945,	2.889935,	1.1449285
1973:01,	3.3371625,	2.7915807,	1.0923685
1973:02,	3.3067667,	3.0656607,	1.0182033
1973:03,	3.3362472,	3.3348775,	0.9424645
1973:04,	3.6414723,	4.4712467,	1.003609
1974:01,	4.034593,	5.2891717,	1.165237
1974:02,	4.6792088,	6.830535,	1.6146535
1974:03,	5.7032323,	9.185869,	2.4467466
1974:04,	6.7135334,	10.406936,	3.0038755
1975:01,	7.5707774,	10.95156,	3.2678478
1975:02,	7.8932834,	9.942823,	3.1136515
1975:03,	7.6398125,	7.8609605,	2.786194
1975:04,	7.2043204,	6.6837234,	2.5372543
1976:01,	6.849986,	6.43013,	2.3104901
1976:02,	6.5820837,	6.216179,	2.1123207
1976:03,	6.4971714,	6.5421658,	1.9424593
1976:04,	6.353244,	6.208082,	1.8090537
1977:01,	6.206807,	5.985676,	1.7018617
1977:02,	6.1646543,	6.2378497,	1.599946
1977:03,	6.087948,	6.031979,	1.5152577
1977:04,	6.0239663,	6.00566,	1.4372389
1978:01,	6.0135446,	6.121597,	1.3734277
1978:02,	6.1120834,	6.543147,	1.3437359
1978:03,	6.3540225,	7.263573,	1.3963829
1978:04,	6.719621,	8.111165,	1.5487614
1979:01,	7.1038427,	8.652957,	1.7006974
1979:02,	7.4418406,	8.958273,	1.7987767
1979:03,	7.7818947,	9.375105,	1.8972982
1979:04,	8.224204,	10.165544,	2.0843537
1980:01,	8.867841,	11.504838,	2.444009
1980:02,	9.540186,	12.466452,	2.7850037
1980:03,	9.755263,	11.395132,	2.7033405
1980:04,	9.942977,	11.475942,	2.646788
1981:01,	9.769983,	10.16164,	2.4878092
1981:02,	9.400771,	9.053799,	2.3293402
1981:03,	8.875724,	7.825,	2.2630517
1981:04,	8.49264,	7.7,	2.1556122
1982:01,	7.9708877,	6.625,	2.145012
1982:02,	7.444178,	6.0375,	2.1324236
1982:03,	7.094589,	5.975,	2.0649657
1982:04,	6.7195554,	5.5,	2.024645
1983:01,	6.200552,	4.525,	2.106482
1983:02,	5.901701,	4.725,	2.043948
1983:03,	5.625048,	4.5375,	1.9677578
1983:04,	5.585528,	5.15,	1.8335263
1984:01,	5.4637394,	4.8125,	1.7484533
1984:02,	5.47856,	5.3,	1.6364696
1984:03,	5.3983045,	4.95,	1.5679339
1984:04,	5.203202,	4.425,	1.5490539
1985:01,	4.9783616,	4.125,	1.5446459
1985:02,	4.890078,	4.35,	1.4944826
1985:03,	4.7928877,	4.25,	1.4449079
1985:04,	4.6237707,	3.85,	1.4503156
1986:01,	4.428065,	3.5875,	1.4543127
1986:02,	4.2476435,	3.4125,	1.4625
1986:03,	4.138356,	3.5,	1.4282749
1986:04,	4.0862207,	3.625,	1.383854
1987:01,	4.110302,	3.9,	1.3319856
1987:02,	4.2321663,	4.3625,	1.272332
1987:03,	4.3444486,	4.5,	1.2237273
1987:04,	4.3839536,	4.375,	1.177066
1988:01,	4.3661833,	4.2,	1.1425512
1988:02,	4.444471,	4.575,	1.1068739
1988:03,	4.5968075,	4.975,	1.0899304
1988:04,	4.6748857,	4.9,	1.0478364
1989:01,	4.7188554,	4.85,	1.0200814
1989:02,	4.764819,	4.9125,	0.9889204
1989:03,	4.732678,	4.65,	0.95473754
1989:04,	4.601659,	4.225,	0.9575437
1990:01,	4.5501523,	4.35,	0.9333894
1990:02,	4.4807706,	4.2,	0.9239625
1990:03,	4.4922185,	4.45,	0.90285814
1990:04,	4.511534,	4.5125,	0.8806638
1991:01,	4.3108664,	3.6625,	0.9414211
1991:02,	4.2205353,	3.8375,	0.9224055
1991:03,	4.136227,	3.7725,	0.90859175
1991:04,	4.0230913,	3.55,	0.9131214
1992:01,	3.9045906,	3.4,	0.9152315
1992:02,	3.8500507,	3.525,	0.8971604
1992:03,	3.75796,	3.325,	0.8942718
1992:04,	3.6743324,	3.25,	0.8967013
1993:01,	3.6023035,	3.2125,	0.8852071
1993:02,	3.593723,	3.375,	0.8665038
1993:03,	3.5651233,	3.3,	0.8600272
1993:04,	3.4752777,	3.03,	0.875762
1994:01,	3.4552343,	3.2,	0.8611416
1994:02,	3.4526978,	3.275,	0.844973
1994:03,	3.458386,	3.325,	0.8237196
1994:04,	3.4848027,	3.425,	0.8019535
1995:01,	3.496623,	3.4125,	0.7861751
1995:02,	3.5287762,	3.525,	0.76119554
1995:03,	3.489388,	3.275,	0.7596734
1995:04,	3.3777149,	2.95,	0.7821117
1996:01,	3.2570148,	2.775,	0.8008955
1996:02,	3.2009056,	2.875,	0.7904464
1996:03,	3.1890554,	3.0025,	0.7684978
1996:04,	3.1830895,	3.025,	0.7472355
1997:01,	3.185407,	3.0625,	0.7310411
1997:02,	3.1667728,	3.0,	0.7178088
1997:03,	3.113162,	2.85,	0.7109866
1997:04,	3.0149815,	2.6,	0.73873824
1998:01,	2.867427,	2.2625,	0.7930165
1998:02,	2.8029475,	2.45,	0.7796536
1998:03,	2.7659903,	2.475,	0.77139264
1998:04,	2.696604,	2.3125,	0.7827489
1999:01,	2.6125467,	2.175,	0.79845315
1999:02,	2.560355,	2.2,	0.7988164
1999:03,	2.5617306,	2.3775,	0.7715899
1999:04,	2.595468,	2.525,	0.7375356
2000:01,	2.5990877,	2.4625,	0.7165959
2000:02,	2.6340675,	2.605,	0.6990026
2000:03,	2.687221,	2.7125,	0.68557376
2000:04,	2.7081132,	2.675,	0.6712784
2001:01,	2.675222,	2.4875,	0.6701244
2001:02,	2.65833,	2.5125,	0.6578071
