time_Nbr_25,	Mean_Nbr_25,	Signal_Nbr_25,	sdev_Nbr_25
1960:01,	2.0937479,	2.0937405,	4.0181385E-5
1960:02,	1.9911445,	1.7563568,	0.15520513
1960:03,	1.7676697,	1.205494,	0.3905534
1960:04,	1.6109226,	1.0893354,	0.46324465
1961:01,	1.4631587,	0.86862653,	0.54835576
1961:02,	1.4223918,	0.97456104,	0.54721475
1961:03,	1.5667787,	1.5135424,	0.46729064
1961:04,	1.5823722,	1.2917295,	0.42620513
1962:01,	1.5895593,	1.2889545,	0.4043695
1962:02,	1.6184684,	1.3911407,	0.376014
1962:03,	1.6029116,	1.2793351,	0.38309035
1962:04,	1.5599681,	1.169604,	0.41701308
1963:01,	1.5341872,	1.167122,	0.4341112
1963:02,	1.520368,	1.1621895,	0.4430833
1963:03,	1.5447736,	1.2631747,	0.42457858
1963:04,	1.6525952,	1.573184,	0.36827984
1964:01,	1.8053021,	1.8809332,	0.30864218
1964:02,	1.7905313,	1.563346,	0.27912065
1964:03,	1.7135407,	1.3506699,	0.3296517
1964:04,	1.6654433,	1.3436894,	0.34867597
1965:01,	1.6092887,	1.2345836,	0.3873156
1965:02,	1.6422588,	1.4373964,	0.35805485
1965:03,	1.6287827,	1.3326696,	0.3631554
1965:04,	1.6215223,	1.3258736,	0.36607537
1966:01,	1.6443168,	1.4213437,	0.34864172
1966:02,	1.8702879,	2.1180823,	0.34020638
1966:03,	2.234072,	2.910391,	0.5128021
1966:04,	2.5752943,	3.3867779,	0.64981025
1967:01,	2.7760687,	3.4674103,	0.6792888
1967:02,	2.805258,	3.2403424,	0.62169355
1967:03,	2.8626986,	3.4033425,	0.62658685
1967:04,	2.9087162,	3.4652169,	0.64481014
1968:01,	3.127956,	4.1016717,	0.8490813
1968:02,	3.3191047,	4.348511,	0.9942638
1968:03,	3.5198007,	4.669382,	1.1428306
1968:04,	3.7431355,	5.072549,	1.316818
1969:01,	3.896439,	5.1900587,	1.418498
1969:02,	4.1447296,	5.7518096,	1.6192676
1969:03,	4.2759542,	5.7614512,	1.7045656
1969:04,	4.3195443,	5.6808634,	1.7245536
1970:01,	4.3887224,	5.858695,	1.7733314
1970:02,	4.497752,	6.0984178,	1.8582591
1970:03,	4.5318346,	6.0168524,	1.88031
1970:04,	4.620364,	6.257185,	1.9491004
1971:01,	4.493529,	5.6925936,	1.8570143
1971:02,	4.181091,	4.890754,	1.6624732
1971:03,	3.8708973,	4.44165,	1.4477146
1971:04,	3.384991,	3.3741922,	1.2043515
1972:01,	3.098045,	3.2662313,	0.9653781
1972:02,	2.870321,	3.0060067,	0.75652474
1972:03,	2.7324765,	2.9054031,	0.60558605
1972:04,	2.657009,	2.889935,	0.5004723
1973:01,	2.5924911,	2.7915807,	0.426013
1973:02,	2.644239,	3.0656607,	0.44887897
1973:03,	2.7554224,	3.3348775,	0.5399225
1973:04,	3.1634245,	4.4712467,	0.98030484
1974:01,	3.6309268,	5.2891717,	1.3682361
1974:02,	4.3503017,	6.830535,	2.0029569
1974:03,	5.442627,	9.185869,	2.9929516
1974:04,	6.3952603,	10.406936,	3.6528137
1975:01,	7.055134,	10.95156,	4.030452
1975:02,	7.071736,	9.942823,	3.9322386
1975:03,	6.425501,	7.8609605,	3.4963815
1975:04,	5.701418,	6.6837234,	3.0054755
1976:01,	5.23774,	6.43013,	2.599041
1976:02,	4.9448924,	6.216179,	2.3119404
1976:03,	4.9021893,	6.5421658,	2.2144566
1976:04,	4.786636,	6.208082,	2.1006494
1977:01,	4.664437,	5.985676,	1.9981589
1977:02,	4.6736007,	6.2378497,	1.9950172
1977:03,	4.6211767,	6.031979,	1.951484
1977:04,	4.587395,	6.00566,	1.9230546
1978:01,	4.601449,	6.121597,	1.931677
1978:02,	4.7407556,	6.543147,	2.0455432
1978:03,	5.035857,	7.263573,	2.298373
1978:04,	5.452719,	8.111165,	2.6501086
1979:01,	5.8389134,	8.652957,	2.9464555
1979:02,	6.1318192,	8.958273,	3.1537795
1979:03,	6.4053645,	9.375105,	3.353555
1979:04,	6.7848134,	10.165544,	3.6546044
1980:01,	7.3914633,	11.504838,	4.163711
1980:02,	8.005552,	12.466452,	4.6463227
1980:03,	8.001085,	11.395132,	4.5930543
1980:04,	8.003583,	11.475942,	4.5706797
1981:01,	7.59005,	10.16164,	4.272238
1981:02,	7.03749,	9.053799,	3.892228
1981:03,	6.358725,	7.825,	3.4281256
1981:04,	5.9695234,	7.7,	3.0914464
1982:01,	5.4475174,	6.625,	2.7118764
1982:02,	5.004011,	6.0375,	2.3712103
1982:03,	4.7508492,	5.975,	2.1288853
1982:04,	4.4873195,	5.5,	1.9123493
1983:01,	4.057705,	4.525,	1.6419785
1983:02,	3.8888917,	4.725,	1.4613129
1983:03,	3.7498121,	4.5375,	1.3247682
1983:04,	3.874256,	5.15,	1.4024585
1984:01,	3.8385932,	4.8125,	1.3595468
1984:02,	3.9725456,	5.3,	1.4622796
1984:03,	3.9322762,	4.95,	1.4246594
1984:04,	3.7548974,	4.425,	1.3057519
1985:01,	3.5602195,	4.125,	1.1668174
1985:02,	3.5272348,	4.35,	1.1224514
1985:03,	3.4852948,	4.25,	1.0814539
1985:04,	3.344723,	3.85,	0.98435575
1986:01,	3.187521,	3.5875,	0.8745171
1986:02,	3.0514023,	3.4125,	0.77149016
1986:03,	3.0094938,	3.5,	0.7236392
1986:04,	3.0283134,	3.625,	0.72845125
1987:01,	3.1257503,	3.9,	0.80772305
1987:02,	3.3194044,	4.3625,	0.9796099
1987:03,	3.4654677,	4.5,	1.0851846
1987:04,	3.5032504,	4.375,	1.0986392
1988:01,	3.464033,	4.2,	1.0628219
1988:02,	3.5540583,	4.575,	1.1336483
1988:03,	3.7250137,	4.975,	1.2785953
1988:04,	3.7963333,	4.9,	1.3229398
1989:01,	3.814931,	4.85,	1.330794
1989:02,	3.8392558,	4.9125,	1.3463324
1989:03,	3.7728703,	4.65,	1.2966197
1989:04,	3.606742,	4.225,	1.1861632
1990:01,	3.5533054,	4.35,	1.1353859
1990:02,	3.4821966,	4.2,	1.0777348
1990:03,	3.5249505,	4.45,	1.1072491
1990:04,	3.5663571,	4.5125,	1.1375022
1991:01,	3.3334663,	3.6625,	1.0056626
1991:02,	3.2573345,	3.8375,	0.9280385
1991:03,	3.195901,	3.7725,	0.8659299
1991:04,	3.105325,	3.55,	0.79670113
1992:01,	3.0081227,	3.4,	0.7219636
1992:02,	2.9957955,	3.525,	0.7025358
1992:03,	2.9319005,	3.325,	0.65431947
1992:04,	2.8764002,	3.25,	0.61103916
