time_Com_0025,	Mean_Com_0025,	Signal_Com_0025,	sdev_Com_0025
1960:01,	2.0937498,	2.0937405,	4.33652E-5
1960:02,	2.0081413,	1.7563568,	0.14616966
1960:03,	1.816227,	1.205494,	0.37227222
1960:04,	1.6570152,	1.0893354,	0.452662
1961:01,	1.4919193,	0.86862653,	0.52875
1961:02,	1.4016473,	0.97456104,	0.52129966
1961:03,	1.4709477,	1.5135424,	0.4612917
1961:04,	1.455968,	1.2917295,	0.42038202
1962:01,	1.4415007,	1.2889545,	0.38933772
1962:02,	1.4566888,	1.3911407,	0.35716912
1962:03,	1.4357674,	1.2793351,	0.34116226
1962:04,	1.3916061,	1.169604,	0.34157187
1963:01,	1.3596716,	1.167122,	0.33649144
1963:02,	1.3343586,	1.1621895,	0.3295539
1963:03,	1.3412868,	1.2631747,	0.31253788
1963:04,	1.421144,	1.573184,	0.30733448
1964:01,	1.5486178,	1.8809332,	0.3430262
1964:02,	1.5552744,	1.563346,	0.30635625
1964:03,	1.5070375,	1.3506699,	0.29296482
1964:04,	1.474974,	1.3436894,	0.2790988
1965:01,	1.4271586,	1.2345836,	0.28107274
1965:02,	1.4447172,	1.4373964,	0.2604188
1965:03,	1.429318,	1.3326696,	0.24996555
1965:04,	1.4155214,	1.3258736,	0.2414619
1966:01,	1.4293579,	1.4213437,	0.22959585
1966:02,	1.6134105,	2.1180823,	0.36422527
1966:03,	1.9325519,	2.910391,	0.64664006
1966:04,	2.2664516,	3.3867779,	0.8466985
1967:01,	2.5150466,	3.4674103,	0.9079294
1967:02,	2.6340852,	3.2403424,	0.86148304
1967:03,	2.762065,	3.4033425,	0.8444157
1967:04,	2.8724518,	3.4652169,	0.82708365
1968:01,	3.116638,	4.1016717,	0.9380206
1968:02,	3.3485525,	4.348511,	1.0209675
1968:03,	3.59457,	4.669382,	1.1095067
1968:04,	3.8668792,	5.072549,	1.2186699
1969:01,	4.0918856,	5.1900587,	1.2693988
1969:02,	4.3967104,	5.7518096,	1.3944279
1969:03,	4.612082,	5.7614512,	1.4297247
1969:04,	4.751464,	5.6808634,	1.4131584
1970:01,	4.9053187,	5.858695,	1.4140546
1970:02,	5.082877,	6.0984178,	1.4362952
1970:03,	5.1886153,	6.0168524,	1.4172167
1970:04,	5.3321743,	6.257185,	1.4276968
1971:01,	5.3014545,	5.6925936,	1.3560783
1971:02,	5.0861583,	4.890754,	1.2817266
1971:03,	4.842928,	4.44165,	1.22709
1971:04,	4.4162374,	3.3741922,	1.2975966
1972:01,	4.1046796,	3.2662313,	1.2756397
1972:02,	3.827292,	3.0060067,	1.2496036
1972:03,	3.60734,	2.9054031,	1.202703
1972:04,	3.4500473,	2.889935,	1.1410602
1973:01,	3.3135262,	2.7915807,	1.0852014
1973:02,	3.2818096,	3.0656607,	1.0065203
1973:03,	3.3190453,	3.3348775,	0.93404156
1973:04,	3.6256204,	4.4712467,	1.0009584
1974:01,	4.03013,	5.2891717,	1.1691757
1974:02,	4.685508,	6.830535,	1.6231489
1974:03,	5.711905,	9.185869,	2.454817
1974:04,	6.718822,	10.406936,	3.0078092
1975:01,	7.5567803,	10.95156,	3.2758036
1975:02,	7.89998,	9.942823,	3.123422
1975:03,	7.633545,	7.8609605,	2.8027258
1975:04,	7.183829,	6.6837234,	2.5525236
1976:01,	6.843303,	6.43013,	2.328579
1976:02,	6.583347,	6.216179,	2.1376803
1976:03,	6.489134,	6.5421658,	1.9639263
1976:04,	6.346669,	6.208082,	1.8234143
1977:01,	6.198434,	5.985676,	1.7082245
1977:02,	6.1614404,	6.2378497,	1.6041564
1977:03,	6.0799036,	6.031979,	1.517068
1977:04,	6.01856,	6.00566,	1.4428513
