time_Com_0025,	Mean_Com_0025,	Signal_Com_0025,	sdev_Com_0025
1978:01,	6.004815,	6.121597,	1.3761028
1978:02,	6.0973425,	6.543147,	1.341771
1978:03,	6.3369365,	7.263573,	1.3914957
1978:04,	6.715227,	8.111165,	1.5490451
1979:01,	7.0991344,	8.652957,	1.7001274
1979:02,	7.4499865,	8.958273,	1.7993869
1979:03,	7.797601,	9.375105,	1.8991903
1979:04,	8.236101,	10.165544,	2.0831246
1980:01,	8.882775,	11.504838,	2.4472117
1980:02,	9.575984,	12.466452,	2.791252
1980:03,	9.788746,	11.395132,	2.702851
1980:04,	9.982183,	11.475942,	2.637493
1981:01,	9.802835,	10.16164,	2.4620907
1981:02,	9.419217,	9.053799,	2.3166552
1981:03,	8.885104,	7.825,	2.2574506
1981:04,	8.503825,	7.7,	2.1462185
1982:01,	7.9737954,	6.625,	2.140468
1982:02,	7.4643245,	6.0375,	2.1369991
1982:03,	7.1093793,	5.975,	2.0636327
1982:04,	6.729722,	5.5,	2.0219183
1983:01,	6.215415,	4.525,	2.1001935
1983:02,	5.9159594,	4.725,	2.035573
1983:03,	5.6464157,	4.5375,	1.974845
1983:04,	5.6019235,	5.15,	1.8407372
1984:01,	5.471481,	4.8125,	1.7531674
1984:02,	5.495018,	5.3,	1.6466137
1984:03,	5.411257,	4.95,	1.5731055
1984:04,	5.213685,	4.425,	1.5586872
1985:01,	4.99962,	4.125,	1.558143
1985:02,	4.906892,	4.35,	1.5044994
1985:03,	4.80588,	4.25,	1.4599835
1985:04,	4.63024,	3.85,	1.4570155
1986:01,	4.434781,	3.5875,	1.4645429
1986:02,	4.2549157,	3.4125,	1.4677494
1986:03,	4.144968,	3.5,	1.4350365
1986:04,	4.090829,	3.625,	1.3848543
1987:01,	4.111046,	3.9,	1.3220367
1987:02,	4.236419,	4.3625,	1.2651471
1987:03,	4.3458843,	4.5,	1.2135696
1987:04,	4.383596,	4.375,	1.1644145
1988:01,	4.3607445,	4.2,	1.1224631
1988:02,	4.4385753,	4.575,	1.0872145
1988:03,	4.5925083,	4.975,	1.073433
1988:04,	4.6705856,	4.9,	1.0411004
1989:01,	4.716715,	4.85,	1.0063674
1989:02,	4.7634487,	4.9125,	0.97804487
1989:03,	4.7264047,	4.65,	0.94989395
1989:04,	4.6023726,	4.225,	0.9467873
1990:01,	4.552508,	4.35,	0.9231238
1990:02,	4.4757013,	4.2,	0.9076355
1990:03,	4.485433,	4.45,	0.8818007
1990:04,	4.5043807,	4.5125,	0.8593127
1991:01,	4.3054433,	3.6625,	0.9175416
1991:02,	4.211919,	3.8375,	0.90618116
1991:03,	4.1298165,	3.7725,	0.8955595
1991:04,	4.0189824,	3.55,	0.9018204
1992:01,	3.8995876,	3.4,	0.9123255
1992:02,	3.844606,	3.525,	0.89230055
1992:03,	3.7539184,	3.325,	0.8933022
1992:04,	3.6705403,	3.25,	0.8902372
1993:01,	3.5980678,	3.2125,	0.8825914
1993:02,	3.587382,	3.375,	0.85769486
1993:03,	3.5584433,	3.3,	0.84311235
1993:04,	3.4629407,	3.03,	0.8533853
1994:01,	3.4375935,	3.2,	0.83428216
1994:02,	3.4360116,	3.275,	0.812938
1994:03,	3.4422603,	3.325,	0.7908861
1994:04,	3.472074,	3.425,	0.7682803
1995:01,	3.4866574,	3.4125,	0.75145054
1995:02,	3.519432,	3.525,	0.7347625
1995:03,	3.4767437,	3.275,	0.72661847
1995:04,	3.366825,	2.95,	0.7499368
1996:01,	3.2485828,	2.775,	0.7780892
1996:02,	3.1936922,	2.875,	0.77016884
1996:03,	3.183112,	3.0025,	0.7482214
1996:04,	3.1772773,	3.025,	0.7299365
1997:01,	3.1815543,	3.0625,	0.7128543
1997:02,	3.1658146,	3.0,	0.7007417
1997:03,	3.116932,	2.85,	0.7008631
1997:04,	3.0186598,	2.6,	0.72522444
1998:01,	2.8627012,	2.2625,	0.78351355
1998:02,	2.8039484,	2.45,	0.77480114
1998:03,	2.768519,	2.475,	0.7618514
1998:04,	2.6980062,	2.3125,	0.7640948
1999:01,	2.6140702,	2.175,	0.77665335
1999:02,	2.556718,	2.2,	0.77340543
1999:03,	2.5595155,	2.3775,	0.75065506
1999:04,	2.5944238,	2.525,	0.72794735
2000:01,	2.5979836,	2.4625,	0.7110309
2000:02,	2.6341164,	2.605,	0.69260013
2000:03,	2.682893,	2.7125,	0.6744437
2000:04,	2.7065938,	2.675,	0.65781504
2001:01,	2.6751692,	2.4875,	0.6533588
2001:02,	2.6560516,	2.5125,	0.64318424
