time_Com_2030,	Mean_Com_2030,	Signal_Com_2030,	sdev_Com_2030
1993:02,	3.440699,	3.375,	0.3119232
1993:03,	3.406654,	3.3,	0.27707356
1993:04,	3.310094,	3.03,	0.28933284
1994:01,	3.2839031,	3.2,	0.25822356
1994:02,	3.2810574,	3.275,	0.2235088
1994:03,	3.293255,	3.325,	0.1955044
1994:04,	3.3250031,	3.425,	0.17799844
1995:01,	3.3478785,	3.4125,	0.15958364
1995:02,	3.3947349,	3.525,	0.16253546
1995:03,	3.3656044,	3.275,	0.15298668
1995:04,	3.260855,	2.95,	0.22354743
1996:01,	3.1416745,	2.775,	0.28627688
1996:02,	3.074792,	2.875,	0.2718323
1996:03,	3.0574765,	3.0025,	0.23881218
1996:04,	3.0512376,	3.025,	0.20940486
1997:01,	3.0542774,	3.0625,	0.18137147
1997:02,	3.0417733,	3.0,	0.15930782
1997:03,	2.9946818,	2.85,	0.1619144
1997:04,	2.8938563,	2.6,	0.22108744
1998:01,	2.731622,	2.2625,	0.33487076
1998:02,	2.6592581,	2.45,	0.31231558
1998:03,	2.6149821,	2.475,	0.2830333
1998:04,	2.5407672,	2.3125,	0.27907023
1999:01,	2.4530218,	2.175,	0.29178804
1999:02,	2.3899882,	2.2,	0.27596837
1999:03,	2.38841,	2.3775,	0.24157561
1999:04,	2.4233341,	2.525,	0.2179997
2000:01,	2.4349985,	2.4625,	0.19158712
2000:02,	2.4768462,	2.605,	0.18221687
2000:03,	2.536728,	2.7125,	0.18933718
2000:04,	2.5723138,	2.675,	0.17381649
2001:01,	2.5501504,	2.4875,	0.15521479
2001:02,	2.5405872,	2.5125,	0.13519725
