time_Nbr_15,	Mean_Nbr_15,	Signal_Nbr_15,	sdev_Nbr_15
1960:01,	2.0937476,	2.0937405,	4.35266E-5
1960:02,	2.036199,	1.7563568,	0.12689687
1960:03,	1.9017056,	1.205494,	0.3337329
1960:04,	1.7918147,	1.0893354,	0.4286145
1961:01,	1.6884676,	0.86862653,	0.5226558
1961:02,	1.6439773,	0.97456104,	0.5432289
1961:03,	1.712899,	1.5135424,	0.47461188
1961:04,	1.7280631,	1.2917295,	0.43930602
1962:01,	1.7326863,	1.2889545,	0.42093065
1962:02,	1.750886,	1.3911407,	0.39473492
1962:03,	1.7453908,	1.2793351,	0.39579728
1962:04,	1.7209582,	1.169604,	0.42222586
1963:01,	1.7034465,	1.167122,	0.4398886
1963:02,	1.6925848,	1.1621895,	0.4504663
1963:03,	1.7037308,	1.2631747,	0.43751138
1963:04,	1.7653414,	1.573184,	0.38541177
1964:01,	1.8603047,	1.8809332,	0.32203853
1964:02,	1.8678719,	1.563346,	0.29259363
1964:03,	1.828676,	1.3506699,	0.32573754
1964:04,	1.798486,	1.3436894,	0.34811035
1965:01,	1.7626815,	1.2345836,	0.38409936
1965:02,	1.7746598,	1.4373964,	0.36638817
1965:03,	1.7678791,	1.3326696,	0.36981687
1965:04,	1.7615149,	1.3258736,	0.3743589
1966:01,	1.7732255,	1.4213437,	0.3606859
1966:02,	1.9014134,	2.1180823,	0.32394382
1966:03,	2.12562,	2.910391,	0.4384659
1966:04,	2.3543189,	3.3867779,	0.5834752
1967:01,	2.509287,	3.4674103,	0.6487141
1967:02,	2.55955,	3.2403424,	0.6244607
1967:03,	2.6093075,	3.4033425,	0.63407826
1967:04,	2.6501849,	3.4652169,	0.65436834
1968:01,	2.7837112,	4.1016717,	0.82117546
1968:02,	2.9154224,	4.348511,	0.9680142
1968:03,	3.0522969,	4.669382,	1.118113
1968:04,	3.2048767,	5.072549,	1.2903938
1969:01,	3.3210595,	5.1900587,	1.4084021
1969:02,	3.4854262,	5.7518096,	1.5977008
1969:03,	3.5921988,	5.7614512,	1.7046019
1969:04,	3.6402085,	5.6808634,	1.7448696
1970:01,	3.6937926,	5.858695,	1.7983563
1970:02,	3.7685845,	6.0984178,	1.880724
1970:03,	3.802857,	6.0168524,	1.914938
1970:04,	3.8612344,	6.257185,	1.9797151
1971:01,	3.80259,	5.6925936,	1.9160041
1971:02,	3.6201978,	4.890754,	1.7420398
1971:03,	3.41887,	4.44165,	1.5425527
1971:04,	3.111361,	3.3741922,	1.2981137
1972:01,	2.89425,	3.2662313,	1.0710067
1972:02,	2.7223897,	3.0060067,	0.8721647
1972:03,	2.6050432,	2.9054031,	0.71275944
1972:04,	2.5334294,	2.889935,	0.5923171
1973:01,	2.477203,	2.7915807,	0.5001166
1973:02,	2.490734,	3.0656607,	0.48378983
1973:03,	2.5509412,	3.3348775,	0.5416455
1973:04,	2.7867913,	4.4712467,	0.89660174
1974:01,	3.0866246,	5.2891717,	1.2710911
1974:02,	3.5415344,	6.830535,	1.8588145
1974:03,	4.236451,	9.185869,	2.769952
1974:04,	4.8957877,	10.406936,	3.478419
1975:01,	5.393063,	10.95156,	3.9374993
1975:02,	5.51171,	9.942823,	3.9590557
1975:03,	5.1975517,	7.8609605,	3.6076028
1975:04,	4.763526,	6.6837234,	3.1649246
